Longitude	Latitude	B2	B3	B4	B5	B6	B7	B8	B8A	B11	B12	clase
506125	534005	2078	2040	1850	2285.8125	3444.625	3958.375	3739	4402.4375	3648.0625	2314.4375	Nubes
504325	521415	2137	1943	1712	1856.625	2447.625	2749.625	2453	2937.6875	2104.75	1622.75	Nubes
510195	513445	2143	2226	1979	2488.6875	4180.0625	4966.875	4965	5497.625	3567	2225.3125	Nubes
550105	501365	1870	1884	1521	1991.875	3635.75	4315.125	4172	4713.875	2793.9375	1743.6875	Vegetacion
565255	529575	7053	6862	7122	7249.125	7522.625	7849.75	7379	8003.75	5756.6875	4436.3125	Nubes
589025	501045	1746	1638	1569	1776	2328.75	2486.75	2436	2670.5	2384.5625	1832.5	Urbano
598655	510555	1797	1753	1650	2106.75	2605.75	2863.875	2606	2954.1875	2735.4375	2360.25	Urbano
507585	518245	3829	3385	3381	3842.0625	4736.125	5255.625	4912	5565.3125	4733.1875	3779.875	Nubes
529265	539865	1894	1797	1531	1941.125	2647.625	3031.6875	2843	3150.125	2170.1875	1543	Agua
534205	562575	1850	1766	1431	1858.875	3378.8125	4059.1875	3497	4401	2587.6875	1601.1875	Vegetacion
591205	495275	1626	1608	1416	1791.625	2909.625	3286.6875	3311	3561.75	2725.125	1843.0625	Urbano
504015	504625	2013	1964	1718	2037.9375	3696.8125	4434.75	3863	4918.625	2988.375	1845.25	Nubes
537215	598045	2642	2671	2331	2263.75	3726.875	4392.1875	4258	4780	3167.1875	2094.375	Agua
562105	529775	1883	1795	1498	1950.0625	3598.375	4326.6875	4235	4738.8125	2738.75	1747.8125	Nubes
595435	501455	2017	1928	1942	2120.3125	2509.375	2556.625	2546	2688.625	2547.1875	2299.875	Urbano
504365	547575	1936	1954	1616	2122.75	4048.75	4936.6875	4946	5466.4375	3300.0625	2022.3125	Nubes
533525	562585	1973	1944	1695	2094.9375	3409.5	3961	3806	4467.125	3274.4375	1968.0625	Vegetacion
508585	527575	2378	2387	1980	2327.1875	4330.875	5235.6875	4938	5717.5625	3236.75	1910.125	Nubes
551665	560135	2893	2718	2568	2800.1875	3560.875	3976.625	3656	4182.0625	3110.5625	2483.25	Nubes
505325	516795	2028	1968	1698	2202.6875	3433.375	4062	3932	4539.9375	3538.9375	2336.875	Nubes
592635	496095	1680	1631	1496	1932.0625	2663.5625	2909.8125	2805	3092.625	2568.9375	1948.3125	Urbano
503615	537375	2378	2340	2317	2545.1875	3541.5625	4123.5	3802	4541.125	3498.8125	2234.3125	Nubes
505835	529295	2935	2950	3061	3380.9375	4695.8125	5327.625	4813	5717.0625	4477.5	3121.8125	Nubes
596065	584025	3425	3368	3468	3541.1875	4192.0625	4554.625	3974	4815.75	3447.875	2882.4375	Nubes
530845	562375	2914	3038	3247	3181.9375	3397.0625	3645.6875	3358	3771.25	4094.75	3606.25	Agua
526765	534345	1880	1838	1511	1906	3484.125	4234.4375	3986	4669.3125	2642.75	1613.3125	Agua
594685	493895	1753	1754	1625	1976.5625	2783.4375	3055.4375	2966	3293.875	2975.5	2102	Urbano
594645	507365	2516	2508	2771	2635.5	2919	3077.5	2992	3101.875	3110.8125	2787.25	Urbano
589965	510225	2589	2412	2436	2591.25	2644.4375	2853.3125	2600	3017	3455.8125	3310.25	Urbano
562705	533815	9537	9591	10252	10167.625	10550.375	10998.1875	10405	11236.3125	8374.375	6462.0625	Nubes
511945	507755	2301	2413	2503	2728.875	3830.8125	4416.125	4034	4840.9375	3830.375	2568.8125	Nubes
500375	524085	2883	2659	2417	2860	4040.375	4573.6875	4454	5006.8125	3951.25	2601.3125	Nubes
548485	496185	1810	1743	1430	1838.8125	3450	4145.3125	3895	4511.5625	2673.125	1636.3125	Vegetacion
502925	571465	1940	1906	1840	2372.75	3443.1875	4044.5625	4038	4540.9375	4085.8125	2599.9375	Vegetacion
601665	508715	2176	2211	2201	2822.8125	3435.875	3507	3378	3761.375	3719.4375	3265.0625	Urbano
595945	517195	2389	2287	2248	2386.375	2500.625	2615.0625	2551	2692.875	2852.4375	2616.9375	Urbano
565205	532665	6504	6400	6662	6706.5625	7077.3125	7423.75	7064	7568.625	6577.75	5636.4375	Nubes
598535	501025	1774	1781	1562	2008.4375	3092.375	3420.125	3529	3633	2726.3125	2029.875	Urbano
556835	543705	1755	1658	1409	1712.8125	2894.3125	3437.25	3067	3673.6875	2293.75	1555.8125	Vegetacion
530025	562375	1953	1924	1610	1972.5625	3475.875	4088.4375	3620	4417.1875	2748.375	1744.4375	Agua
590615	498355	1607	1547	1347	1573.8125	2443.5	2820.25	2766	2988.3125	1822.125	1379.125	Urbano
506555	538835	2052	1904	1690	1871.3125	2860.375	3350.125	3013	3635.5625	2392.875	1689.9375	Nubes
551085	561165	8066	7823	8254	8480.6875	8884.0625	9333.625	8693	9503.3125	6376.125	4672.375	Nubes
502335	533225	2032	2033	1711	2198.125	3560.875	4127.4375	4208	4529.0625	3136.6875	2010	Nubes
550915	558095	6625	6467	6708	6720.875	7092.1875	7404.375	6953	7603.875	6258.1875	5058.6875	Nubes
592975	583155	4539	4492	4658	4727.6875	5295.3125	5645.6875	5264	5888.125	4990.0625	4260.0625	Nubes
586275	502955	1805	1738	1672	1910.1875	2293.625	2458.4375	2494	2637.0625	2764.25	2116.625	Urbano
602225	494185	1628	1617	1400	1742.375	2775.5625	3150.0625	3380	3359.5	2190.4375	1589.625	Urbano
583555	500265	2113	2037	1853	2111.5625	2071.4375	2052.125	1846	1957.5625	1658.125	1572.5625	Urbano
500695	534595	2377	2149	1849	2270.5625	3362	4038.4375	3256	4391.4375	2889.625	2492.0625	Nubes
508655	511405	2119	2125	1832	2283.25	4135.6875	5033.6875	4845	5591.625	3692.875	2226.75	Nubes
506485	539915	4127	3807	3710	3840	4776.3125	5266.5	5167	5587.1875	4429.0625	3031.6875	Nubes
597105	499985	2131	2292	2151	2444.25	3218.5	3444.75	3653	3594.4375	3183.8125	2547.1875	Urbano
595725	518375	2135	2040	2048	2122.1875	2230.5	2332.125	2193	2360.375	2440.25	2294.625	Urbano
596765	495575	1659	1582	1453	1714.25	2496.3125	2819.125	2777	3021.875	2124.6875	1597.6875	Urbano
526655	536685	1892	1833	1513	1896.8125	3596.6875	4430.4375	4238	4854.1875	2719.6875	1635.875	Agua
599635	511545	2417	2389	2380	2679.9375	2922.5625	3118	3032	3123.875	2956.375	2766.125	Urbano
596105	506965	3765	4007	4155	4447.25	4626.75	4903.0625	4846	5023.875	5110.25	4861.75	Urbano
503105	508945	3812	3895	4026	4088.625	5075	5609.4375	5214	5910.9375	4983	3888.375	Nubes
510015	524705	1964	1909	1594	1985.5625	3559.4375	4268.25	3925	4677.4375	3004.125	1822.25	Nubes
511775	515875	1974	1854	1513	1804.0625	3001.0625	3630	3080	3818.8125	2319.9375	1583.9375	Nubes
557865	499685	1853	1921	1488	2050.8125	3918.875	4672.5	4598	4997.6875	2800.75	1728.125	Vegetacion
533325	597045	2236	2247	2292	2583.6875	3394	3869	3629	4297.25	3901.875	2723.5625	Agua
593205	502625	2060	2160	2074	2397.8125	3259.875	3664.875	3772	3854.375	3263.5	2710.8125	Urbano
603305	510765	2040	1892	1992	2181.25	2407.5625	2495.625	2131	2499.9375	2646	2421.3125	Urbano
502805	540425	5405	5421	5859	5885.125	6506.1875	6996.75	6099	7327.8125	5828.4375	4703.875	Nubes
603695	517555	2917	2880	2955	2772.8125	2889.4375	2951.125	3194	3046.0625	3276.625	3045.625	Urbano
591075	496065	1695	1648	1503	1756.6875	2468.75	2701.625	2699	2869.5	2325.3125	1733.625	Urbano
505865	527075	2511	2432	2191	2673.1875	3988.5625	4591.9375	4358	5058.1875	3858.3125	2579.75	Nubes
530205	552555	2153	2137	2231	2233.3125	2160.3125	2334.1875	2061	2122.1875	1211.6875	1107.4375	Agua
550515	559105	9764	9773	10515	10412.5625	10753.8125	11214.8125	10673	11442.8125	8134.5625	6297.875	Nubes
550615	562665	7294	6973	7161	7188.75	7428.1875	7681.9375	7407	7793	5642.3125	4107.375	Nubes
526625	535485	2035	1945	1842	2128.5625	3448.3125	4053.625	3753	4446.1875	3290.875	2111.3125	Agua
601545	524335	2802	2724	2877	2855.5625	2965.375	3029.8125	2992	3073	3396.0625	3156.1875	Urbano
560895	533025	3254	3138	3089	3239.625	4028.8125	4373.6875	4266	4608.4375	3787.8125	2817.75	Nubes
505275	511075	2214	2162	2124	2332.0625	3133.5	3537.4375	3569	3825.625	3621	2425.1875	Nubes
566455	525225	5459	5400	5655	5616.1875	6101	6418.1875	6291	6597.625	5889.3125	4583.3125	Nubes
600645	523815	2931	2276	2276	2506.3125	2623.625	3334.4375	3662	3794.8125	4922.125	5423.875	Urbano
559685	532865	5458	5281	5385	5499.0625	6018	6403.875	6083	6524.6875	5782.9375	4573.0625	Nubes
553845	549505	1764	1668	1382	1694.0625	2966	3460.8125	3242	3723.5625	2188.5	1449.0625	Vegetacion
564855	502605	7476	7542	7995	7780.6875	8084.375	8380.25	8150	8540.5	6790.625	5217.125	Nubes
507295	570465	1840	1816	1475	2038.9375	3719.3125	4503.8125	4451	4933	3053.5	1906.75	Vegetacion
548435	499565	1815	1757	1442	1828.3125	3158.875	3660.6875	3468	3950.375	2543.9375	1613.875	Vegetacion
507035	523535	3733	3762	3581	3757.9375	4736.4375	5210	5108	5441.625	4524.5	3444.0625	Nubes
600895	514685	1717	1703	1511	1887.75	2616.0625	2977.875	3219	3044.5625	2339.375	1824.5625	Urbano
597205	509155	2360	2346	2382	2549.6875	2665.0625	2758.75	2681	2827.6875	3079.9375	2905.6875	Urbano
558135	500415	1875	1891	1567	2172.8125	3364.125	3790.1875	3934	4154.625	3178.4375	2187.625	Vegetacion
547545	561775	5905	5844	6201	6372.5625	6990.375	7424.6875	6936	7720.5	7004.6875	5510.25	Nubes
566885	530035	3483	3361	3355	3363.8125	3942.25	4179.4375	4140	4303.125	3332.5625	3087.9375	Nubes
601395	521835	2061	2115	2003	2061.3125	2751.5625	3049.8125	3641	3228.25	2798.5625	2336.875	Urbano
592695	500105	1726	1737	1555	2005.375	2929.375	3224.6875	3179	3450.8125	2847.8125	2049.25	Urbano
583005	495715	1739	1656	1442	1722.5625	2499	2758.125	2750	2927.6875	2102.25	1579.3125	Urbano
597745	518595	2531	2500	2546	2670.9375	2782	2853.875	2679	3015	3684.75	3752.625	Urbano
504385	513505	1859	1643	1378	1435.5625	1918.8125	2140.3125	2021	2170.6875	1382.0625	1161.5625	Nubes
532985	599355	1850	1798	1475	1864.5	3400.375	4077.5625	3929	4408.25	2520.75	1586.375	Agua
507065	511965	1982	1882	1532	1871.875	3071.6875	3617.375	3058	4033.75	2179.1875	1484.5625	Nubes
501175	510835	5208	4945	4829	4692.5625	5300.3125	5652.0625	5836	5861.625	4914.25	3832.625	Nubes
501575	533265	2200	2183	1847	2378.5	4106.75	4891.25	4599	5335.8125	3404.25	2233.4375	Nubes
592695	581185	7597	7549	7912	8033.4375	8444.3125	8772.5625	8381	8977.0625	7189.625	5647.125	Nubes
595225	584465	3203	3211	3064	3532.75	5042.125	5650.375	5516	6025.1875	4506.875	3332.6875	Nubes
504475	528035	2106	2116	1827	2361.25	4067.9375	4803.3125	4633	5343.5	3804	2223.375	Nubes
507135	505995	2057	2003	1759	2129.5625	3849.9375	4642.25	4241	5167.25	3397.125	2025.5	Nubes
536945	562225	1830	1777	1442	1836.625	3312.9375	4019.125	3866	4426.125	2708.9375	1632.8125	Vegetacion
511445	517625	2357	2427	2335	2532.125	3617.0625	4203.6875	3873	4593.375	3049.0625	2157.125	Nubes
503555	539135	5086	5106	5286	5496.5625	6246.75	6731.3125	6039	7068.9375	5831.625	4923.0625	Nubes
552405	499415	1909	1813	1679	1966.9375	3003	3449.5	3137	3833.75	3123	2056.4375	Vegetacion
548665	556895	4088	4112	4255	4266.875	5107.625	5613.5	5263	5895.375	4820.125	3938.75	Nubes
595905	584965	1895	1793	1522	1991.375	3420.3125	4007.6875	3739	4354.25	2738.875	1818.6875	Nubes
596965	502085	2900	3184	3678	3736.25	3994.375	4202.9375	4206	4329.625	4765.875	4013.6875	Urbano
556235	499865	1953	1891	1617	1988.9375	3251	3618.375	3604	4018	2571.3125	1762.6875	Vegetacion
503425	508455	2061	2013	1710	2136.875	3261.25	3719.1875	3432	4034	3076	1962.8125	Nubes
536995	584755	1851	1786	1468	1913.5625	3444.875	4122.1875	4025	4496.875	2721.6875	1698.8125	Vegetacion
547595	500705	1784	1688	1392	1676.375	2720.1875	3119.6875	2898	3353.1875	2161.625	1452.125	Vegetacion
593615	496065	1851	1952	1785	2374.625	3654.3125	4064.875	4068	4393.25	3598.5	2438.9375	Urbano
505775	533695	2079	2032	1802	2200.1875	3672.3125	4360.375	4236	4750.375	3662.25	2295.75	Nubes
558495	498075	1814	1758	1429	1723.125	3188.625	3850	3908	4078.9375	2287.8125	1513.5	Vegetacion
602035	512515	1773	1755	1587	2130.8125	2996.8125	3301.5	3327	3478.375	3081.1875	2506.9375	Urbano
547465	560175	3996	4396	4758	4996	5793.25	6339	5126	6681.5625	5793.9375	4903.875	Nubes
593095	503635	1768	1744	1660	2016.625	2550.875	2733.3125	2707	2883.1875	2881.6875	2223.5	Urbano
594885	510035	2349	2270	2248	2493.4375	2543.9375	2639.4375	2291	2693.4375	3211.9375	3016.3125	Urbano
601265	502525	2641	2576	2653	2679.875	2918.9375	2967.3125	2795	3017.375	3246.5625	3002.9375	Urbano
533985	594015	2011	2003	1797	2215.1875	3439.1875	3954.3125	3752	4387.4375	3716.4375	2302.5	Agua
546925	557575	2217	2109	1950	2124.8125	2814.8125	3141.75	2882	3257.9375	2321.4375	1780.375	Nubes
507465	516785	2017	1826	1598	1687.3125	2220.625	2482.9375	2480	2617.75	1929.0625	1525.4375	Nubes
504445	538265	5193	5383	5935	5962.8125	6763.8125	7364.75	6423	7731.125	6518.625	5182.3125	Nubes
504885	533955	1970	1863	1545	1912.9375	3878.8125	4747.5	4657	5351.6875	2900.5	1694.6875	Nubes
500305	545745	1933	1939	1541	2057.3125	4681.4375	5992	6014	6484.625	3147.5	1859.0625	Nubes
503975	529975	1884	1650	1408	1476.8125	1934.125	2165.4375	1941	2205.9375	1398.125	1196.875	Nubes
506355	543255	1914	1896	1514	2023.75	3866.4375	4654.125	4541	5078	2723.375	1638.5	Nubes
502695	532515	2167	2104	1921	2346.5625	3793.0625	4418	4223	4854.0625	3232.625	2207.125	Nubes
553095	543555	1836	1764	1594	1921.8125	2994.625	3459.125	3448	3827.5625	2923.1875	1894.6875	Vegetacion
593865	501375	2571	2651	2620	2790.3125	3189.25	3286.4375	3572	3477.8125	3937.9375	3834.3125	Urbano
588695	495645	1622	1612	1406	1879.0625	2969.5	3378.5	3212	3577.375	2807.1875	2011.0625	Urbano
563715	528175	7321	7473	8078	8180.9375	8647.375	9076.9375	8043	9325.1875	6993.25	5551.6875	Nubes
500405	527095	5790	5782	6138	5943.0625	6601.375	7070.1875	6554	7364.1875	6399.125	5009.9375	Nubes
587945	496315	1592	1528	1326	1606.1875	2380.25	2567.25	2585	2699.625	2006	1508.125	Urbano
506415	516305	3692	4178	4348	4266.0625	4934.0625	5385.8125	5012	5736.375	5060.625	3893.75	Nubes
508815	523275	2019	2033	1689	2190.375	4089.8125	4843.6875	4579	5323.875	3415.0625	2021.6875	Nubes
547755	499725	1782	1753	1403	1765	3305.5	3943.6875	3711	4297.0625	2558.25	1594.25	Vegetacion
546565	500025	1790	1706	1408	1783.25	3566.75	4477.4375	4230	4827	2590.75	1594.875	Vegetacion
