x	y	B2	B3	B4	B5	B6	B7	B8	B8A	B11	B12	clase
514385	558565	1653	1860	2188	2423.3125	2602.4375	2751.3125	2804	3032.75	4861.9375	4341.125	cultivos
517915	561875	1556	1822	2018	2518.5	3002.0625	3229.6875	3328	3596.5	4101.4375	2859.4375	cultivos
515845	557815	1626	1900	2074	2588.125	3312.125	3625.4375	3735	4008.75	4727	3420.5625	cultivos
513315	558575	1794	2052	2310	2566.125	2840.75	2993	3162	3311.0625	4645.5625	4074.75	cultivos
513805	559175	1824	1993	2050	2655.25	3541.875	3811.4375	3911	4230.1875	4114.8125	2967.4375	cultivos
517545	562035	1772	2080	2420	2870.6875	3368.125	3649.3125	3752	4058.1875	5263.125	3766.9375	cultivos
513585	559485	1508	1622	1858	2055	2214.625	2386.25	2513	2719.1875	4714.5	4363.75	cultivos
514495	559375	1548	1667	1922	2132.3125	2287.0625	2498.8125	2593	2849.125	4550.375	4129.3125	cultivos
513605	559915	1726	2062	2294	2858.25	3552.625	3826.875	3984	4179.6875	4851.75	3682.5	cultivos
512565	558805	1822	2078	2548	2788.75	2997.625	3197.4375	3315	3538.9375	4776.4375	4026.5625	cultivos
514205	558815	1712	2110	2180	2774.5	3923.5	4254.375	4407	4643.4375	4560.375	3247.125	cultivos
517795	561645	1525	1824	1936	2580.125	3080.9375	3329.375	3410	3726	4158.8125	2905.125	cultivos
513605	559635	1488	1611	1800	2007.6875	2166.5	2370.4375	2446	2651.125	4649.4375	4235	cultivos
513515	557765	1808	2062	2438	2821.875	3004.75	3164.5625	3234	3525	4686.8125	4003.5625	cultivos
514315	559195	1676	1849	2166	2490.25	2728.4375	2983.375	3191	3446.875	5265.5625	4248.5	cultivos
512695	558865	1846	2230	2480	3131.6875	3999.75	4325	4404	4697.375	4934.8125	3634.4375	cultivos
513265	558095	1900	2150	2608	2926.25	3086.375	3306.8125	3382	3660.25	4903.875	4132.25	cultivos
513735	558095	1503	1620	1864	2036.3125	2194.8125	2339.0625	2465	2683.625	4367.125	4030.5625	cultivos
515905	557915	1752	2034	2342	2749.0625	3282.6875	3557.0625	3655	3954.3125	4913.125	3611.25	cultivos
514375	559695	1554	1718	1916	2372.25	2929	3258.9375	3302	3671.1875	4512.1875	3501.5	cultivos
513385	558885	1780	2032	2386	2627.3125	2821.75	3009.5625	3100	3370.5625	4862.75	4194	cultivos
513725	559455	1504	1607	1847	2038.625	2189.75	2375.25	2483	2686.4375	4691.875	4334.5	cultivos
513335	557895	1814	2094	2532	2817.1875	2987.0625	3191.25	3290	3533.6875	4930.1875	4160.75	cultivos
514545	559735	1598	1790	2040	2386	2611.9375	2827.4375	3076	3233.9375	4999.25	4173.5625	cultivos
514225	558975	1880	2060	2180	2655	3262.375	3509	3690	3944.75	4329.875	3189.375	cultivos
513515	559355	1715	1879	2186	2546.5	2846.5625	3067.25	3236	3520.75	5127.6875	4075.8125	cultivos
513505	558115	1890	2130	2602	2813.0625	2984	3184.1875	3360	3550.3125	4878.8125	4154.9375	cultivos
516935	561825	1666	1926	2178	2713.1875	3122.3125	3357.6875	3419	3731.6875	4667.8125	3434.375	cultivos
514655	557995	1687	1864	2204	2471.25	2657.4375	2846.5625	2948	3198.4375	4841.1875	4192.6875	cultivos
513785	559175	1800	1985	2011	2637.25	3506.75	3775.4375	3888	4187.6875	4125.0625	2993.125	cultivos
513715	557695	1715	1888	2238	2601.4375	2845.1875	3087.5625	3287	3566.25	4918.625	4010.6875	cultivos
513415	559265	1716	1878	1952	2466.75	3441.3125	3736.6875	3852	4132	4155.5625	3070.4375	cultivos
512915	557935	1840	2114	2544	2842.125	3026.625	3227.9375	3270	3546	4566.3125	3841.125	cultivos
514355	557975	1629	1794	2104	2349.6875	2510.375	2683.5625	2770	3037.1875	4945.8125	4343.4375	cultivos
513495	559455	1516	1634	1834	2045.4375	2237.375	2434.1875	2497	2712.4375	4704.25	4285.9375	cultivos
513435	558145	1888	2158	2570	2892.125	3063.9375	3293.125	3342	3620.1875	4941.6875	4154.125	cultivos
514115	559695	1512	1744	1722	2230.0625	2947	3212.75	3258	3570.4375	4260.4375	3385.5625	cultivos
513555	559975	1722	1920	2272	2541.875	2724.8125	2949.1875	3059	3280	4704.125	3962.8125	cultivos
513435	559435	1621	1746	2056	2295.125	2503.25	2747.375	2952	3149.75	4987.75	4254.625	cultivos
514195	559375	1494	1634	1858	2056.625	2185.1875	2354.3125	2506	2698.8125	4707.4375	4328.1875	cultivos
513635	558325	1794	2044	2398	2761	2925.9375	3143.75	3163	3475.6875	4879.5	4175.5	cultivos
517055	562055	1542	1738	1907	2406.375	2893.1875	3117.1875	3157	3523.5	4044.75	2842	cultivos
513865	558375	1502	1616	1843	2008.875	2134.5	2308.0625	2412	2591.375	4687.1875	4448.4375	cultivos
512715	558055	1764	1990	2388	2628.5	2925.625	3126.0625	3246	3461.0625	4597.8125	3839.4375	cultivos
513905	559485	1479	1620	1856	2030.5	2168.8125	2316	2479	2651.1875	4663.3125	4304	cultivos
513905	559475	1485	1616	1848	2032	2181.4375	2341	2456	2655.0625	4672.4375	4312	cultivos
513045	559235	1795	2148	2422	3116.5	3722	4026.75	4038	4459.3125	5064.5625	3714.5	cultivos
512675	558835	1790	2182	2390	2990.125	3845.25	4115.5625	4377	4461.4375	4853.625	3654.3125	cultivos
514375	559455	1557	1696	1928	2221.9375	2478.375	2692.625	2685	3062.3125	4544.6875	3862	cultivos
513915	558185	1487	1626	1831	2009	2136.25	2288.5	2395	2617.4375	4543.625	4273.5	cultivos
513425	559435	1628	1794	2066	2321.75	2554.1875	2813.125	3030	3218.4375	4979.3125	4219.5	cultivos
514575	558205	1656	1822	2172	2418.5	2575.875	2752.8125	2861	3074.625	4899.375	4318	cultivos
514145	558195	1497	1616	1871	2014.1875	2136.1875	2298.375	2437	2602.875	4605.1875	4384	cultivos
517605	561905	1683	1941	2170	2734.375	3201.3125	3442	3508	3831.75	4736.125	3419.4375	cultivos
514415	557925	1661	1839	2124	2381.875	2532.0625	2708.0625	2768	3027.8125	4869.4375	4291.9375	cultivos
517895	561635	1636	1948	2188	2606.5	3159.125	3438.375	3533	3870	4301.75	3023.125	cultivos
516935	561765	1608	1893	1962	2674.75	3339.5	3609.1875	3636	3959.875	4394.8125	3138.0625	cultivos
513965	557905	1561	1706	1966	2247.3125	2437.375	2641.9375	2779	3042.375	4869.1875	4080.4375	cultivos
513935	558995	1618	1806	2004	2521.25	3073.25	3381.6875	3505	3863.5625	4694.8125	3542.4375	cultivos
513945	558305	1509	1618	1844	2005.9375	2137	2286.375	2451	2613.9375	4683.1875	4463.0625	cultivos
513665	559985	1741	1919	2298	2513.5625	2699.4375	2928.375	3012	3279.875	4647.6875	3920.6875	cultivos
512935	558355	1792	2012	2422	2704.5	2874.9375	3061.875	3146	3391.3125	4674.75	3962.75	cultivos
513735	559765	1532	1716	1937	2383.9375	2954.6875	3243.875	3386	3665.5625	4545.5625	3533.5	cultivos
514315	558495	1702	1888	2236	2457.4375	2610.9375	2788	2986	3113.125	4909	4279.1875	cultivos
